Trial,beta,delta,lambda,latency,R0,percent runs ongoing,avg affected cells (ongoing),avg affected cells (extinct),avg extinction cycle,5%,25%,50%,75%,95%,inf at 10, tot at 10,inf at 20, tot at 20,inf at 30, tot at 30,inf at 40, tot at 40,inf at 50, tot at 50,inf at 60, tot at 60,inf at 70, tot at 70,inf at 80, tot at 80,inf at 90, tot at 90,inf at 100, tot at 100,inf at 150, tot at 150,inf at 200, tot at 200,inf at 250, tot at 250
1,1,1,0,1.3,1,0,0,5.3,1.6,0,0,0,2,8,4.6,43.5,5.4,118.2,9.8,260.2,1,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.1,1,0,1.3,1.1,0,0,9.6,2.1,0,0,0,2,10,6.4,56.6,9.3,173.3,7.6,320.4,5.4,404.2,11.3,427,4.5,498.5,7,546,0,0,0,0,0,0,0,0,0,0,0,0
3,1.2,1,0,1.3,1.2,0.9,2693.6,17.5,2.7,0,0,0,2,13,10.7,78.3,16.4,266.9,21.5,538.4,27.7,895.7,30.8,1340.1,29.8,1729.9,26.6,2147.8,36.6,2740.2,34.8,3352.3,38.6,4280.8,33.8,9562.2,0,0,0,0
4,1.3,1,0,1.3,1.3,5.7,21214.3,14.6,2.3,0,0,0,2,11,15.1,100.7,38.3,427.1,76.2,1077.2,145,2336.7,242.5,4421.1,355.2,7199.6,433.1,9619.6,480,11368.6,505.5,12660.6,513.9,13443.4,574.1,17348.7,909.5,26283,0,0
5,1.4,1,0,1.3,1.4,12.1,10719.6,8,1.7,0,0,0,2,8,25.1,142.4,109.5,862,332.5,3127.8,517.5,5472.7,591.3,6610.4,546.9,6275.5,533.4,6554.2,467.8,5802.6,833,10188.5,0,0,0,0,0,0,0,0
6,1.5,1,0,1.3,1.5,17.8,7645.8,5.4,1.3,0,0,0,1,6,43.4,209.2,298.3,1907.7,567.5,4223.5,600.1,4701.3,706.2,5815.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1.6,1,0,1.3,1.6,23.3,6123.2,4.3,1.1,0,0,0,1,5,76.4,320.8,524.8,2993.6,651.8,3927.2,569.5,3657.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1.7,1,0,1.3,1.7,26.8,5217.2,3.5,0.9,0,0,0,1,4,132.9,506,626,3159.9,660.5,3381.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1.8,1,0,1.3,1.8,31.5,4609.8,3.1,0.8,0,0,0,1,4,222.6,799.2,640.8,2875.8,547.5,2691.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1.9,1,0,1.3,1.9,35.9,4163.1,2.9,0.7,0,0,0,1,3,338.5,1176.8,653.3,2635.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,1,0,1.3,2,37.8,3816.7,2.6,0.6,0,0,0,1,3,474.7,1613.2,563.6,2036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2.1,1,0,1.3,2.1,41,3546.6,2.4,0.5,0,0,0,1,3,571.6,1882.6,718.2,2487.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2.2,1,0,1.3,2.2,43.7,3325.8,2.3,0.5,0,0,0,1,2,622.7,1968.4,609.7,1941.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2.3,1,0,1.3,2.3,46.3,3142.8,2.1,0.4,0,0,0,1,2,671,2041.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2.4,1,0,1.3,2.4,47.9,2980.5,2,0.4,0,0,0,0,2,677,1962.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2.5,1,0,1.3,2.5,50.8,2847.2,2,0.3,0,0,0,0,2,672.2,1866.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2.6,1,0,1.3,2.6,52.3,2729.5,1.8,0.3,0,0,0,0,2,691.5,1853.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2.7,1,0,1.3,2.7,54.5,2631.9,1.8,0.3,0,0,0,0,2,699.5,1821.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2.8,1,0,1.3,2.8,54.9,2541.6,1.7,0.2,0,0,0,0,1,704.1,1742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2.9,1,0,1.3,2.9,56.9,2460.5,1.7,0.2,0,0,0,0,1,732.5,1803.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,3,1,0,1.3,3,58.6,2387.4,1.7,0.2,0,0,0,0,1,611.4,1422.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3.1,1,0,1.3,3.1,59.8,2321.3,1.7,0.2,0,0,0,0,1,744.1,1712.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,3.2,1,0,1.3,3.2,61.5,2261.4,1.6,0.2,0,0,0,0,1,767.6,1730.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3.3,1,0,1.3,3.3,62.7,2208.1,1.6,0.2,0,0,0,0,1,539,1078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3.4,1,0,1.3,3.4,63.3,2157.9,1.6,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,3.5,1,0,1.3,3.5,64.6,2112.2,1.5,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
