R0,initI,total_sim,total_blip,blip_prob
1.01,1.0,4998,4847,0.9697879151660664
1.01,2.0,7133,6850,0.9603252488434039
1.01,3.0,8205,7819,0.9529555149299208
1.01,4.0,8857,8318,0.9391441797448346
1.01,5.0,9243,8617,0.9322730715135779
1.01,6.0,9514,8749,0.9195921799453437
1.01,7.0,9662,8787,0.9094390395363279
1.01,8.0,9780,8853,0.9052147239263804
1.01,9.0,9868,8813,0.8930887717875963
1.01,10.0,9895,8757,0.8849924204143507
1.01,15.0,9983,8319,0.8333166382850846
1.01,20.0,10000,7847,0.7847
1.01,30.0,10000,6986,0.6986
1.01,40.0,10000,6237,0.6237
1.01,50.0,10000,5500,0.55
1.01,60.0,10000,4831,0.4831
1.01,70.0,10000,4358,0.4358
1.01,80.0,10000,3899,0.3899
1.01,90.0,10000,3494,0.3494
1.01,100.0,10000,3073,0.3073
1.01,200.0,10000,978,0.0978
1.01,300.0,10000,290,0.029
1.01,400.0,10000,75,0.0075
1.05,1.0,5067,4507,0.8894809552003158
1.05,2.0,7182,6175,0.8597883597883598
1.05,3.0,8307,6800,0.8185867340796918
1.05,4.0,8957,7008,0.7824048230434297
1.05,5.0,9367,6972,0.7443151489270844
1.05,6.0,9533,6824,0.7158292247980699
1.05,7.0,9746,6663,0.6836650933716396
1.05,8.0,9817,6466,0.6586533564225323
1.05,9.0,9877,6099,0.6174951908474233
1.05,10.0,9922,5940,0.5986696230598669
1.05,15.0,9990,4756,0.47607607607607605
1.05,20.0,10000,3656,0.3656
1.05,30.0,9999,2258,0.22582258225822582
1.05,40.0,10000,1377,0.1377
1.05,50.0,10000,830,0.083
1.05,60.0,10000,526,0.0526
1.05,70.0,10000,318,0.0318
1.05,80.0,10000,184,0.0184
1.05,90.0,10000,128,0.0128
1.05,100.0,10000,68,0.0068
1.05,200.0,10000,0,0.0
1.05,300.0,10000,0,0.0
1.05,400.0,10000,0,0.0
1.1,1.0,5220,4103,0.786015325670498
1.1,2.0,7344,5385,0.733251633986928
1.1,3.0,8494,5710,0.6722392276901342
1.1,4.0,9026,5538,0.6135608242853977
1.1,5.0,9429,5332,0.5654894474493584
1.1,6.0,9609,5031,0.5235716515766469
1.1,7.0,9743,4586,0.4706969106024838
1.1,8.0,9834,4249,0.4320724018710596
1.1,9.0,9900,3954,0.3993939393939394
1.1,10.0,9931,3609,0.36340751183163833
1.1,15.0,9996,2332,0.23329331732693076
1.1,20.0,9998,1437,0.14372874574914982
1.1,30.0,10000,549,0.0549
1.1,40.0,10000,204,0.0204
1.1,50.0,10000,90,0.009
1.1,60.0,10000,24,0.0024
1.1,70.0,10000,18,0.0018
1.1,80.0,10000,5,5e-4
1.1,90.0,10000,2,2e-4
1.1,100.0,10000,0,0.0
1.1,200.0,10000,0,0.0
1.1,300.0,10000,0,0.0
1.1,400.0,10000,0,0.0
1.15,1.0,5150,3668,0.7122330097087378
1.15,2.0,7352,4591,0.624455930359086
1.15,3.0,8522,4784,0.5613705702886647
1.15,4.0,9133,4575,0.5009306909011277
1.15,5.0,9487,4160,0.4384947823337198
1.15,6.0,9649,3704,0.3838739765778837
1.15,7.0,9779,3316,0.33909397688925247
1.15,8.0,9864,2883,0.2922749391727494
1.15,9.0,9911,2540,0.2562809000100898
1.15,10.0,9944,2215,0.22274738535800484
1.15,15.0,9989,1157,0.11582741015116628
1.15,20.0,10000,550,0.055
1.15,30.0,10000,115,0.0115
1.15,40.0,10000,30,0.003
1.15,50.0,10000,10,0.001
1.15,60.0,10000,4,4e-4
1.15,70.0,10000,0,0.0
1.15,80.0,10000,1,1e-4
1.15,90.0,10000,0,0.0
1.15,100.0,10000,0,0.0
1.15,200.0,10000,0,0.0
1.15,300.0,10000,0,0.0
1.15,400.0,10000,0,0.0
1.2,1.0,5321,3353,0.630144709641045
1.2,2.0,7571,4115,0.5435213313961168
1.2,3.0,8677,4174,0.48104183473550766
1.2,4.0,9192,3741,0.4069843342036554
1.2,5.0,9520,3316,0.3483193277310924
1.2,6.0,9715,2831,0.29140504374678333
1.2,7.0,9801,2376,0.24242424242424243
1.2,8.0,9871,2031,0.2057542295613413
1.2,9.0,9936,1750,0.17612721417069244
1.2,10.0,9945,1476,0.14841628959276018
1.2,15.0,9996,602,0.06022408963585434
1.2,20.0,9999,243,0.024302430243024302
1.2,30.0,10000,45,0.0045
1.2,40.0,10000,8,8e-4
1.2,50.0,10000,2,2e-4
1.2,60.0,10000,0,0.0
1.2,70.0,10000,0,0.0
1.2,80.0,10000,0,0.0
1.2,90.0,10000,0,0.0
1.2,100.0,10000,0,0.0
1.2,200.0,10000,0,0.0
1.2,300.0,10000,0,0.0
1.2,400.0,10000,0,0.0
1.2499999999999998,1.0,5490,3174,0.5781420765027322
1.2499999999999998,2.0,7654,3692,0.4823621635746015
1.2499999999999998,3.0,8703,3448,0.3961852234861542
1.2499999999999998,4.0,9242,3109,0.33639904782514607
1.2499999999999998,5.0,9537,2631,0.2758729160113243
1.2499999999999998,6.0,9734,2077,0.21337579617834396
1.2499999999999998,7.0,9822,1806,0.18387293830177154
1.2499999999999998,8.0,9900,1465,0.147979797979798
1.2499999999999998,9.0,9942,1172,0.11788372560852947
1.2499999999999998,10.0,9963,896,0.08993275117936364
1.2499999999999998,15.0,9993,343,0.03432402681877314
1.2499999999999998,20.0,10000,83,0.0083
1.2499999999999998,30.0,10000,15,0.0015
1.2499999999999998,40.0,10000,1,1e-4
1.2499999999999998,50.0,10000,0,0.0
1.2499999999999998,60.0,10000,0,0.0
1.2499999999999998,70.0,10000,0,0.0
1.2499999999999998,80.0,10000,0,0.0
1.2499999999999998,90.0,10000,0,0.0
1.2499999999999998,100.0,10000,0,0.0
